BRAND,DNLA,SKU_NO,SEQNUM,SPEC_NAME,SPEC_VALUE,SPEC_VALUE_RAW
Axler,N,1205408,2,Sections,1,
Axler,N,1205408,3,Dimensions,"10 x 4 x 4"" (25.4 x 10.2 x 10.2 cm)",
Axler,N,1205408,4,Weight,"Stabilizer: 1.55 lb (0.7 kg)
Counterweight (including bolt): 13.8 oz (391.2 g)",
Axler,N,1253101,1,Slide Distance,"14"" (35.5 cm) from the middle out 
28"" (71 cm) from end to end",
Axler,N,1253101,2,Payload,Up to 4.5 lb (2 kg),
Axler,N,1253101,3,Mount Types,"1/4""-20 screw for camera mounting; 3/8""-16 threaded tripod mount hole",
Axler,N,1253101,4,Material of Construction,Aluminum with ABS plastic side panels,
Axler,N,1253101,5,Dimensions,"4.5 x 2.5 x 9.5"" (11.4 x 6.4 x 24 cm) (when folded)",
Axler,N,1253101,6,Weight,2.5 lb (1 kg),
Axler,N,1259098,1,Drive Gear,0.8 MOD / 32 pitch,
Axler,N,1259098,2,Rod Standard,15 mm LWS,
Axler,N,1259098,3,Lens Compatibility,Diameter Range: 30-120mm,
Axler,N,1259098,4,Dimensions,"3.5 x 6.75 x 3&quot; / 8.9 x 17 x 7.6 cm
Extended: 3.5 x 8 x 6.5&quot; / 8 x 20 x 16.5 cm",
Axler,N,1259098,5,Weight,1.1 lb / 0.5 kg,
Axler,N,1259099,1,Drive Gear,0.8 MOD / 32 pitch,
Axler,N,1259099,2,Rod Standard,".6"" / 15 mm LWS",
Axler,N,1259099,3,Lens Compatibility,Diameter Range: 20-100mm,
Axler,N,1259099,4,Dimensions,"3.5 x 6.5 x 3&quot; / 8.9 x 16.5 x 7.6 cm
Extended: 3.5 x 8 x 6.5&quot; / 8.9 x 20 x 16.5 cm",
Axler,N,1259099,5,Weight,9.2 oz / 260 g,
Axler,N,1271174,1,General,,
Axler,N,1271174,2,Maximum Height,"80"" (203 cm)",
Axler,N,1271174,3,Folded Length,"28"" (71 cm)",
Axler,N,1271174,4,Load Capacity,11 lb (5 kg),
Axler,N,1271174,5,Leg Sections,4,
Axler,N,1271174,6,Leg Lock Type,Twist,
Axler,N,1271174,7,Male Thread Size,"3/8""-16",
Axler,N,1271174,8,Weight,4.4 lb (2 kg),
Axler,N,1271174,9,Fluid Head,,
Axler,N,1271174,10,Tilt Angle,-90&deg;/+65&deg;,
Axler,N,1271174,11,Bubble Level,Yes,
Axler,N,1271174,12,Quick Release,Yes,
Axler,N,1271174,13,Camera Mounting Screw,"1/4""-20 and 3/8""-16",
Impact,N,253064,1,Shape,Oval,
Impact,N,253064,2,Size Open,"42"" x 72"" (107 x 183cm)",
Impact,N,253064,3,Size Collapsed,1/3 of working size,
Impact,N,253064,4,Surfaces,"Black, silver mylar, white, gold and translucent",
Impact,N,253077,1,Minimum Height,"Base only: 4"" (10.2 cm)
Base with pole: 22.8"" (57.8 cm)",
Impact,N,253077,2,Maximum Height,3' (91.5 cm),
Impact,N,253077,3,Closed Length,"Pole part: 20"" (51 cm)",
Impact,N,253077,4,Footprint Diameter,"23.6"" (60 cm)",
Impact,N,253077,5,Weight,2.9 lbs (1.3 kg),
Impact,N,253077,6,Maximum Load,7 lbs (3.2 kg),
Impact,N,253077,7,Attachment Size,"5/8"" stud with 1/4""-20 & 3/8"" threaded tips",
Impact,N,253077,8,Accepts Wheels,No,
Impact,N,253077,9,Air Cushioned,No,
Impact,N,253081,1,Material,"Chrome-plated steel cylinder, high-impact nylon base",
Impact,N,253081,2,Seat,"14"" (36 cm) Diameter",
Impact,N,253081,3,Base,"25"" (63 cm) Diameter",
Impact,N,253081,4,Height,"20 - 30"" (51 - 76 cm)",
Impact,N,262758,1,Minimum Height,"26.3"" (66.6 cm)",
Impact,N,262758,2,Maximum Height,6' (1.8 m),
Impact,N,262758,3,Closed Length,"26.3"" (66.6 cm)",
Impact,N,262758,4,Footprint Diameter,"30"" (76 cm)",
Impact,N,262758,5,Weight,1.8 lb (820 g),
Impact,N,262758,6,Maximum Load,4 lb (1.8 kg),
Impact,N,262758,7,Attachment Size,"5/8"" stud with 1/4""-20 thread",
Impact,N,262758,8,Accepts Wheels,Yes,
Impact,N,262758,9,Air Cushioned,No,
Impact,N,272945,1,Minimum Height,"40"" (102 cm)",
Impact,N,272945,2,Maximum Height,"13' (4 m) as light stand 9'(2.7 m) as boom stand, with boom @ 90 degree angle
10.5'(3.2 m) as boom stand, with boom @ 135 degree angle",
Impact,N,272945,3,Closed Length,"40"" (102 cm)",
Impact,N,272945,4,Footprint Diameter,"36"" (91 cm)",
Impact,N,272945,5,Leg Tip,20mm,
Impact,N,272945,6,Attachment Size,"5/8"" stud with 1/4""-20 threaded top",
Impact,N,272945,7,Accepts Wheels,Yes,
Impact,N,272945,8,Air Cushioned,No,
Impact,N,272945,9,Maximum Load,5 lbs (2.3 kg) as light stand 3 lbs (1.4 kg) as boom stand,
Impact,N,272945,10,Weight,4.6 lbs (2.1 kg),
Impact,N,298604,1,Rating,"12"" Floodlight: 500 watts maximum10"" Floodlight: (if included) 500 watts max., 250 watts suggested5"" Floodlight: 250 watts maximum",
Impact,N,298604,2,Socket (Lampholder),Ceramic,
Impact,N,298604,3,Lens (Condenser),Not applicable,
Impact,N,298604,4,Reflector (Mirror),"10"" or 12"" & 5"" aluminum parabolic, black finish",
Impact,N,298604,5,Mounting,"Universal 5/8"" mount",
Impact,N,298604,6,Yoke,Not applicable,
Impact,N,298604,7,Cable,"~10' with in-line switch, 3-prong USA plug",
Impact,N,298604,8,Focusing,Not applicable,
Impact,N,298604,9,Weight,Each Head: ~4 lbs (1.8 kg),
Impact,N,298604,10,Dimensions,"10"" Flood: 12 x 10"" (30.5 x 25.4 cm)
 12"" Flood: 12 x 12"" (30.5 x 30.5 cm)
 5"" Flood: 10 x 5"" (25.4 x 12.7 cm)With sockets",
Impact,N,298604,11,Kit Weight,~16 lbs (7.3 kg),
Impact,N,299964,1,Base,"25"" (63 cm) diameter",
Impact,N,299964,2,Height,"28 - 48"" (71 x 122 cm)",
Impact,N,299964,3,Table,"18 x 27"" (46 x 69 cm)",
Impact,N,308804,1,Rating,"500 watts, 250 watts recommended for long use",
Impact,N,308804,2,Socket (Lampholder),"Edison base, ceramic socket",
Impact,N,308804,3,Reflector (Mirror),"12"" aluminum",
Impact,N,308804,4,Mounting,"5/8"" stand mount",
Impact,N,308804,5,Yoke,Not applicable,
Impact,N,308804,6,Cable,"Captive, 2-prong AC plug",
Impact,N,308804,7,Weight,15 lbs (6.8 kg),
Impact,N,357125,1,Dimensions,"Collapsed: 29"" (74 cm)
Fully extended: 67"" (1.7 m)",
Impact,N,357125,2,Weight,2.65 lbs (1.2 kg),
Impact,N,358606,1,Shape,Round,
Impact,N,358606,2,Size Open,"22"" (56cm)",
Impact,N,358606,3,Size Collapsed,1/3 open size,
Impact,N,358606,4,Surfaces,"Translucent, white, silver, gold, silver/gold",
Impact,N,358607,1,Shape,Round,
Impact,N,358607,2,Size Open,"32"" (81cm)",
Impact,N,358607,3,Size Collapsed,1/3 open size,
Impact,N,358607,4,Surfaces,"Translucent, white, silver, gold, gold/silver mix",
Impact,N,358608,1,Shape,Round,
Impact,N,358608,2,Size Collapsed,1/3 open size,
Impact,N,358608,3,Surfaces,"Translucent, white, silver, gold, silver-gold",
Impact,N,358608,4,Size Open,"42"" (106 cm)",
Impact,N,358609,1,Shape,Circular,
Impact,N,358609,2,Size Open,"12"" (30cm)",
Impact,N,358609,3,Size Collapsed,1/3 open size,
Impact,N,358609,4,Surfaces,White translucent,
Impact,N,358610,1,Shape,Circular,
Impact,N,358610,2,Size Open,"22"" (56cm)",
Impact,N,358610,3,Size Collapsed,1/3 open size,
Impact,N,358610,4,Surfaces,White translucent,
Impact,N,358611,1,Shape,Circular,
Impact,N,358611,2,Size Open,"32"" (81cm)",
Impact,N,358611,3,Size Collapsed,1/3 open size,
Impact,N,358611,4,Surfaces,White translucent,
Impact,N,358614,1,Shape,Circular,
Impact,N,358614,2,Size Open,"42"" (106cm)",
Impact,N,358614,3,Size Collapsed,1/3 open size,
Impact,N,358614,4,Surfaces,White translucent,
Impact,N,358616,1,Shape,Oval,
Impact,N,358616,2,Size Open,"41 x 74"" (104 x 188cm)",
Impact,N,358616,3,Size Collapsed,1/3 open size,
Impact,N,358616,4,Surfaces,White translucent,
Impact,N,358617,1,Shape,Circular,
Impact,N,358617,2,Size Open,"52"" (132cm)",
Impact,N,358617,3,Size Collapsed,1/3 open size,
Impact,N,358617,4,Surfaces,White translucent,
Impact,N,358624,1,Shape,Circular,
Impact,N,358624,2,Size Open,"12"" (30cm)",
Impact,N,358624,3,Size Collapsed,1/3 open size,
Impact,N,358624,4,Surfaces,"Silver-gold, white reflective",
Impact,N,358625,1,Shape,Circular,
Impact,N,358625,2,Size Open,"22"" (56cm)",
Impact,N,358625,3,Size Collapsed,1/3 open size,
Impact,N,358625,4,Surfaces,"Silver-gold, white reflective",
Impact,N,358628,1,Shape,Circular,
Impact,N,358628,2,Size Open,"32"" (81cm)",
Impact,N,358628,3,Size Collapsed,1/3 open size,
Impact,N,358628,4,Surfaces,"Silver-gold, white reflective",
Impact,N,358629,1,Shape,Circular,
Impact,N,358629,2,Size Open,"42"" (106cm)",
Impact,N,358629,3,Size Collapsed,1/3 open size,
Impact,N,358629,4,Surfaces,"Silver-gold, white reflective",
Impact,N,358631,1,Shape,Oval,
Impact,N,358631,2,Size Open,"41 x 74"" (104 x 188cm)",
Impact,N,358631,3,Size Collapsed,1/3 open size,
Impact,N,358631,4,Surfaces,"Silver-gold, white reflective",
Impact,N,358632,1,Shape,Circular,
Impact,N,358632,2,Size Open,"52"" (132cm)",
Impact,N,358632,3,Size Collapsed,1/3 open size,
Impact,N,358632,4,Surfaces,"Silver-gold, white reflective",
Impact,N,358633,1,Shape,Circular,
Impact,N,358633,2,Size Open,"12"" (30cm)",
Impact,N,358633,3,Size Collapsed,1/3 open size,
Impact,N,358633,4,Surfaces,"Silver, white reflective",
Impact,N,358634,1,Shape,Circular,
Impact,N,358634,2,Size Open,"22"" (56cm)",
Impact,N,358634,3,Size Collapsed,1/3 open size,
Impact,N,358634,4,Surfaces,"Silver, white reflective",
Impact,N,358635,1,Shape,Circular,
Impact,N,358635,2,Size Open,"32"" (81cm)",
Impact,N,358635,3,Size Collapsed,1/3 open size,
Impact,N,358635,4,Surfaces,"Silver, white reflective",
Impact,N,358636,1,Shape,Circular,
Impact,N,358636,2,Size Open,"42"" (106cm)",
Impact,N,358636,3,Size Collapsed,1/3 open size,
Impact,N,358636,4,Surfaces,"Silver, white reflective",
Impact,N,358637,1,Shape,Oval,
Impact,N,358637,2,Size Open,"41 x 74"" (104 x 188cm)",
Impact,N,358637,3,Size Collapsed,1/3 open size,
Impact,N,358637,4,Surfaces,"Silver, white reflective",
Impact,N,358639,1,Shape,Circular,
Impact,N,358639,2,Size Open,"52"" (132cm)",
Impact,N,358639,3,Size Collapsed,1/3 open size,
Impact,N,358639,4,Surfaces,"Silver, white reflective",
Impact,N,359556,1,Material,Nylon,
Impact,N,359556,2,Type of Closure,Zipper,
Impact,N,359556,3,Exterior Dimensions,36 x 9 x 9&quot; (91.4 x 22.6 x 22.6 cm) (LxWxH),
Impact,N,359556,4,Interior Dimensions,35 x 8 x 8&quot; (88.9 x 20.3 x 20.3 cm) (LxWxH),
Impact,N,359556,5,Accommodates,"2 monolights with reflectors, cables, umbrellas and light stands",
Impact,N,359556,6,Carrying/Transport Options,Carrying handles Shoulder strap,
Impact,N,359556,7,Load Capacity,35 lbs (15.88 kg),
Impact,N,359556,8,Weight,4.05 lbs (1.837 kg),
Impact,N,362385,1,Open Diameter,"33"" (84 cm)",
Impact,N,362385,2,Closed Length,"23"" (58.4 cm)",
Impact,N,362385,3,Shaft Diameter,8 mm,
Impact,N,362386,1,Open Diameter,"43"" (109 cm)",
Impact,N,362386,2,Closed Length,"28.3"" (71.8 cm)",
Impact,N,362386,3,Shaft Diameter,8 mm,
Impact,N,362392,1,Open Diameter,"33"" (84 cm)",
Impact,N,362392,2,Closed Length,"23"" (58.4 cm)",
Impact,N,362392,3,Shaft Diameter,8 mm,
Impact,N,363001,1,Open Diameter,"43"" (109 cm)",
Impact,N,363001,2,Closed Length,"28.3"" (71.8 cm)",
Impact,N,363001,3,Shaft Diameter,8 mm,
Impact,N,370577,1,Rating,"12"" Floodlight: 500 watts maximum10"" Floodlight: 500 watts max, 250 watts max suggested5"" Floodlight: 250 watts max",
Impact,N,370577,2,Socket (Lampholder),Ceramic,
Impact,N,370577,3,Lens (Condenser),Not applicable,
Impact,N,370577,4,Reflector (Mirror),"10 or 12"" & 5"" Aluminum Parabolic, black finish",
Impact,N,370577,5,Mounting,"Universal 5/8"" mount",
Impact,N,370577,6,Yoke,Not applicable,
Impact,N,370577,7,Cable,"~10' with in-line switch, 3 prong USA plug",
Impact,N,370577,8,Focusing,Not applicable,
Impact,N,370577,9,Weight,Each Head: ~4 lbs (1.8 kg),
Impact,N,370577,10,Dimensions,"10"" Flood: 12 x 10"" (30.5 x 25.4 cm)
 12"" Flood: 12 x 12"" (30.5 x 30.5 cm)
 5"" Flood: 10 x 5"" (25.4 x 12.7 cm)With sockets",
Impact,N,370577,11,Kit Weight,~16 lbs (7.3 kg),
Impact,N,371907,1,Accepts Wheels,No,
Impact,N,371907,2,Minimum Height,4.75' (1.5 m),
Impact,N,371907,3,Maximum Height,10.75' (3.3 m),
Impact,N,371907,4,Closed Length,4.75' (1.5 m),
Impact,N,371907,5,Footprint Diameter,"37"" (94 cm)",
Impact,N,371907,6,Maximum Load,22 lbs (10 kg),
Impact,N,371907,7,Attachment Size,"5/8"" (16 mm) male stud",
Impact,N,371907,8,Weight,19.75 lb (9.0 kg),
Impact,N,371916,1,Material,Steel and Aluminum,
Impact,N,371916,2,Compatibility,"3/8"" (9 mm) and 5/8"" (16 mm) accessories",
Impact,N,371916,3,Load Capacity,10 lb (4.5 kg),
Impact,N,371916,4,Dimensions,"Length: 40"" (1 m)Grip head: 2.5"" (6.3 cm)",
Impact,N,371916,5,Weight,3.25 lb (1.47 kg),
Impact,N,371923,1,Mounting Size,"Up to 5/8"" stud",
Impact,N,371923,2,Diameter,"2.5"" (6.35 cm)",
Impact,N,371923,3,Weight,1.75 lbs (800 g),
Impact,N,372016,1,Minimum Height,4.75' (1.5 m),
Impact,N,372016,2,Maximum Height,10.75' (3.3m),
Impact,N,372016,3,Closed Length,4.75' (1.5 m),
Impact,N,372016,4,Footprint Diameter,"37"" (94 cm)",
Impact,N,372016,5,Maximum Load,22 lbs (10 kg) as a stand,
Impact,N,372016,6,Attachment Size,"5/8"" (16 mm) male stud",
Impact,N,372016,7,Accepts Wheels,No,
Impact,N,372016,8,Weight,Kit: 23 lbs (10.4 kg) Stand alone: 19.75 lb (9.0 kg),
Impact,N,386542,1,Dimensions,"10.5 x 10.5 x 13.5"" (26.6 x 26.6 x 34 cm)",
Impact,N,386542,2,Weight,1 lb (450 g),
Impact,N,386543,1,Dimensions,"15 x 15 x 23"" (38 x 38 x 58cm)",
Impact,N,386543,2,Weight,2.4 lb (1.1 kg),
Impact,N,386544,1,Dimensions,"18 x 18 x 27.5"" (45.7 x 45.7 x 69 cm)",
Impact,N,386544,2,Weight,3.2 lb (1.5 kg),
Impact,N,386545,1,Dimensions,"24 x 24 x 36"" (61 x 61 x 91 cm)",
Impact,N,386545,2,Weight,4.8 lb (2.2 kg),
Impact,N,390686,1,Maximum Watt/Seconds,100,
Impact,N,390686,2,Guide Number,"f/8 @ 10' @ ISO 100, 
with reflector",
Impact,N,390686,3,Recycle Time,3 sec @ full power,
Impact,N,390686,4,Flash Duration,1/1500 sec @ min power 1/1000 sec @ full power,
Impact,N,390686,5,Flash Variability,Full to 1/8 power,
Impact,N,390686,6,User Replaceable Flashtube,Yes,
Impact,N,390686,7,Changeable Reflector,Yes,
Impact,N,390686,8,Modeling Light Wattage,60,
Impact,N,390686,9,Voltage Stabilization,No,
Impact,N,390686,10,Flash Ready Indicator,LED on test button,
Impact,N,390686,11,Operating Voltage,"120VAC, 50/60 Hz",
Impact,N,390686,12,Built-in Slave Cell,Yes,
Impact,N,390686,13,Circuit Protection,Fuse,
Impact,N,390686,14,Fan Cooled,No,
Impact,N,390686,15,Auto Dump,No,
Impact,N,390686,16,Dimensions,"9.5 x 7.75 x 5"" LxHxW (without reflector)",
Impact,N,390686,17,Weight,2.6 lbs (1.2 kg),
Impact,N,390686,18,Kit Weight,8 lb (3.6 kg),
Impact,N,397671,1,Extended Length,5.3 ft (1.6 m),
Impact,N,397671,2,Closed Length,"35"" (89 cm)",
Impact,N,397671,3,Weight,2.25 lb (1.1 kg),
Impact,N,397671,4,Maximum Load,1.75 lb (.8 kg),
Impact,N,397671,5,Attachment Size,5/8 in male stud with 1/4-20 in screw thread,
Impact,N,402652,1,Maximum Watt/Seconds,100,
Impact,N,402652,2,Guide Number,"f/8 @ 10' @ ISO 100, 
with reflector",
Impact,N,402652,3,Recycle Time,3 sec @ full power,
Impact,N,402652,4,Flash Duration,1/1500 sec @ min power 1/1000 sec @ full power,
Impact,N,402652,5,Flash Variability,Full to 1/8 power,
Impact,N,402652,6,User Replaceable Flashtube,Yes,
Impact,N,402652,7,Changeable Reflector,Yes,
Impact,N,402652,8,Modeling Light Wattage,60,
Impact,N,402652,9,Voltage Stabilization,No,
Impact,N,402652,10,Flash Ready Indicator,LED on test button,
Impact,N,402652,11,Operating Voltage,220VAC,
Impact,N,402652,12,Built-in Slave Cell,Yes,
Impact,N,402652,13,Circuit Protection,Fuse,
Impact,N,402652,14,Fan Cooled,No,
Impact,N,402652,15,Auto Dump,No,
Impact,N,402652,16,Dimensions,"9.5 x 7.75 x 5"" LxHxW (without reflector)",
Impact,N,402652,17,Weight,2.6 lbs (1.2 kg),
Impact,N,402652,18,Kit Weight,~5 lbs (2.3 kg),
Impact,N,402654,1,Maximum Watt/Seconds,Each Monolight: 100,
Impact,N,402654,2,Guide Number,"f/8 @ 10' @ ISO 100, 
with reflector",
Impact,N,402654,3,Recycle Time,3 sec @ full power,
Impact,N,402654,4,Flash Duration,1/1500 sec @ min power 1/1000 sec @ full power,
Impact,N,402654,5,Flash Variability,Full to 1/8 power,
Impact,N,402654,6,User Replaceable Flashtube,Yes,
Impact,N,402654,7,Changeable Reflector,Yes,
Impact,N,402654,8,Modeling Light Wattage,60,
Impact,N,402654,9,Voltage Stabilization,No,
Impact,N,402654,10,Flash Ready Indicator,LED on test button,
Impact,N,402654,11,Operating Voltage,"120VAC, 50/60 Hz",
Impact,N,402654,12,Built-in Slave Cell,Yes,
Impact,N,402654,13,Circuit Protection,Fuse,
Impact,N,402654,14,Fan Cooled,No,
Impact,N,402654,15,Auto Dump,No,
Impact,N,402654,16,Dimensions,"Each Monolight: 9.5 x 7.75 x 5"" LxHxW (without reflector)",
Impact,N,402654,17,Weight,Each Monolight: 2.6 lbs (1.2 kg),
Impact,N,402654,18,Kit Weight,~28 lbs (12.7 kg),
Impact,N,418000,1,Overall Dimensions,"Approx. 6 x 9 x 1.25"" (15.2 x 22.9 x 3.2 cm)",
Impact,N,418000,2,Weight,5 lb (2.3 kg),
Impact,N,418001,1,Overall Dimensions,"Approx. 7.5 x 13 x 1.25"" (19 x 33 x 3.2 cm)",
Impact,N,418001,2,Weight,10 lb (4.5 kg),
Impact,N,418002,1,Overall Dimensions,"Approx. 8.5 15 x 1.5"" (21.6 x 38.1 x 3.8 cm)",
Impact,N,418002,2,Weight,15 lb (6.8 kg),
Impact,N,418003,1,Overall Dimensions,"Approx. 9.5 x 15 x 2.25"" (24.1 x 38.1 x 5.7 cm)",
Impact,N,418003,2,Weight,25 lb (11.3 kg),
Impact,N,418004,1,Overall Dimensions,"Approx. 9.0 x 17.5 x 2.5"" (22.9 x 44.5 x 6.3 cm)",
Impact,N,418004,2,Weight,35 lb (15.9 kg),
Impact,N,421471,1,Overall Dimensions,"11 x 24"" (28 x 61 cm)",
Impact,N,421471,2,Capacity,35 lb (15.9 kg),
Impact,N,423625,1,Open Diameter,"45"" (114 cm)",
Impact,N,423625,2,Closed Length,"29.8"" (75.5 cm)",
Impact,N,423625,3,Shaft Diameter,8 mm,
Impact,N,423628,1,Open Diameter,"30"" (76 cm)",
